# id	kind	inbox	cadence_minutes	command
work-observer	top	docs/multi-pass-coordinator/inbox/work-observer	30	project/actors/work-observer/run.sh
holistic-observer	top	docs/multi-pass-coordinator/inbox/holistic-observer	120	project/actors/holistic-observer/run.sh
coordinator	top	docs/multi-pass-coordinator/inbox/coordinator	30	project/actors/coordinator/run.sh
process-health-observer	top	docs/multi-pass-coordinator/inbox/process-health-observer	180	project/actors/process-health-observer/run.sh
process-fixer	top	project/actors/process-fixer/inbox	240	project/actors/process-fixer/run.sh
pm	actor	docs/multi-pass-coordinator/inbox/pm	0	project/actors/pm/run.sh
build	actor	docs/multi-pass-coordinator/inbox/build-loop	0	project/actors/build/run.sh
architecture-review	actor	docs/multi-pass-coordinator/inbox/architecture	0	project/actors/architecture-review/run.sh
testing-review	actor	docs/multi-pass-coordinator/inbox/testing	0	project/actors/testing-review/run.sh
ux-ia-review	actor	docs/multi-pass-coordinator/inbox/ux-ia	0	project/actors/ux-ia-review/run.sh
visual-review	actor	docs/multi-pass-coordinator/inbox/visual-review	0	project/actors/visual-review/run.sh
pm-behaviour-tree	behaviour-tree	.claude/state	0	project/behaviour-trees/pm-loop/tick.sh
